Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2025-08-15,Girona,Vallecano,1,3,A,0,3,A,7,16,2,5,8,17,2,4,0,1,1,0
2025-08-15,Villarreal,Oviedo,2,0,H,2,0,H,25,5,10,4,10,8,10,1,1,2,0,1
2025-08-16,Mallorca,Barcelona,0,3,A,0,2,A,4,24,1,8,8,17,3,6,4,1,2,0
2025-08-16,Alaves,Levante,2,1,H,1,0,H,15,7,4,3,15,13,10,1,0,1,0,0
2025-08-16,Valencia,Sociedad,1,1,D,0,0,D,18,13,2,3,5,11,8,7,1,2,0,0
2025-08-17,Celta,Getafe,0,2,A,0,0,D,11,10,3,3,15,17,9,3,3,2,0,0
2025-08-17,Ath Bilbao,Sevilla,3,2,H,2,0,H,14,12,3,6,8,12,10,1,0,2,0,0
2025-08-17,Espanol,Ath Madrid,2,1,H,0,1,A,10,15,5,4,14,11,1,3,3,3,0,0
2025-08-18,Elche,Betis,1,1,D,0,1,A,6,12,2,4,14,13,1,3,0,1,0,0
2025-08-19,Real Madrid,Osasuna,1,0,H,0,0,D,18,2,5,0,10,12,7,0,1,0,0,1
2025-08-22,Betis,Alaves,1,0,H,1,0,H,16,11,5,5,10,17,5,2,2,3,0,0
2025-08-23,Mallorca,Celta,1,1,D,0,1,A,12,8,4,2,12,12,3,4,3,3,0,0
2025-08-23,Ath Madrid,Elche,1,1,D,1,1,D,13,6,6,2,14,7,10,2,0,3,0,0
2025-08-23,Levante,Barcelona,2,3,A,2,0,H,8,26,5,10,10,8,0,11,3,1,0,0
2025-08-24,Osasuna,Valencia,1,0,H,1,0,H,16,4,4,1,14,13,3,4,2,1,0,1
2025-08-24,Sociedad,Espanol,2,2,D,0,2,A,15,14,7,3,16,18,5,2,2,2,0,0
2025-08-24,Villarreal,Girona,5,0,H,4,0,H,19,5,7,2,8,9,8,1,1,2,0,0
2025-08-24,Oviedo,Real Madrid,0,3,A,0,1,A,6,26,3,10,8,7,1,9,2,1,0,0
2025-08-25,Ath Bilbao,Vallecano,1,0,H,0,0,D,11,6,4,1,13,13,3,6,0,4,0,0
2025-08-25,Sevilla,Getafe,1,2,A,1,1,D,12,9,3,6,10,24,5,3,2,2,0,0
2025-08-27,Celta,Betis,1,1,D,0,1,A,14,7,5,2,13,11,10,4,1,2,0,0
2025-08-29,Elche,Levante,2,0,H,0,0,D,16,11,5,1,14,17,4,2,1,2,0,0
2025-08-29,Valencia,Getafe,3,0,H,1,0,H,7,11,4,1,18,7,8,6,2,0,0,0
2025-08-30,Alaves,Ath Madrid,1,1,D,1,1,D,5,15,2,6,10,17,1,6,2,3,0,0
2025-08-30,Oviedo,Sociedad,1,0,H,1,0,H,8,18,1,6,7,18,1,10,2,1,0,0
2025-08-30,Girona,Sevilla,0,2,A,0,1,A,20,13,5,4,5,14,11,3,0,2,0,0
2025-08-30,Real Madrid,Mallorca,2,1,H,2,1,H,17,9,7,5,12,7,4,5,2,0,0,0
2025-08-31,Celta,Villarreal,1,1,D,0,0,D,10,8,2,3,11,8,1,5,1,1,0,0
2025-08-31,Betis,Ath Bilbao,1,2,A,0,0,D,9,15,2,6,9,16,4,10,1,4,0,1
2025-08-31,Espanol,Osasuna,1,0,H,0,0,D,10,10,4,3,13,14,2,3,2,3,0,0
2025-08-31,Vallecano,Barcelona,1,1,D,0,1,A,12,12,6,3,16,8,9,4,4,1,0,0
2025-09-12,Sevilla,Elche,2,2,D,1,0,H,7,5,3,2,23,19,2,2,4,3,0,0
2025-09-13,Getafe,Oviedo,2,0,H,2,0,H,10,5,3,1,12,18,4,3,2,5,0,1
2025-09-13,Sociedad,Real Madrid,1,2,A,0,2,A,23,16,4,6,17,7,12,4,2,1,0,1
2025-09-13,Ath Bilbao,Alaves,0,1,A,0,0,D,12,4,3,2,17,21,6,6,4,3,0,0
2025-09-13,Ath Madrid,Villarreal,2,0,H,1,0,H,8,8,3,1,12,15,8,3,2,4,0,0
2025-09-14,Celta,Girona,1,1,D,0,1,A,21,13,7,8,7,9,10,3,0,3,0,0
2025-09-14,Levante,Betis,2,2,D,2,1,H,5,28,2,9,16,11,4,12,3,2,0,0
2025-09-14,Osasuna,Vallecano,2,0,H,1,0,H,9,19,7,6,13,7,3,6,3,2,0,0
2025-09-14,Barcelona,Valencia,6,0,H,1,0,H,24,2,10,1,9,8,5,4,0,1,0,0
2025-09-15,Espanol,Mallorca,3,2,H,2,1,H,9,24,3,10,9,16,3,9,2,1,1,0
